nm,P,B1,B2,B3,B4
400,1.46E-06,1.97E-07,2.15E-07,2.92E-06,1.03E-06
401,1.71E-06,1.64E-07,1.87E-07,2.49E-06,7.79E-07
402,1.77E-06,6.58E-07,3.14E-07,2.11E-06,4.73E-07
403,1.70E-06,4.60E-07,2.48E-07,1.72E-06,2.46E-07
404,1.46E-06,3.87E-07,1.70E-07,2.34E-06,5.34E-07
405,1.44E-06,2.66E-07,2.53E-07,2.73E-06,9.92E-07
406,1.59E-06,8.76E-07,3.26E-07,2.57E-06,1.38E-06
407,1.66E-06,1.26E-06,2.95E-07,2.82E-06,1.52E-06
408,2.07E-06,7.29E-07,4.34E-07,2.56E-06,1.30E-06
409,3.04E-06,5.60E-07,6.39E-07,5.55E-06,9.65E-07
410,3.53E-06,1.85E-07,5.52E-07,6.03E-06,1.46E-06
411,3.35E-06,4.05E-07,2.88E-07,6.64E-06,2.02E-06
412,2.50E-06,3.89E-07,1.26E-07,2.59E-06,3.41E-06
413,1.15E-06,7.44E-07,1.36E-07,4.25E-06,4.39E-06
414,6.44E-07,1.05E-06,4.70E-07,5.64E-06,4.77E-06
415,1.92E-06,1.05E-06,5.99E-07,2.39E-06,4.39E-06
416,3.29E-06,1.58E-06,1.39E-06,2.64E-06,3.79E-06
417,4.43E-06,2.03E-06,1.87E-06,2.04E-06,4.26E-06
418,5.90E-06,8.15E-07,1.60E-06,3.32E-06,4.64E-06
419,6.93E-06,8.35E-07,1.16E-06,6.00E-06,4.71E-06
420,7.34E-06,4.72E-07,4.00E-07,5.32E-06,4.90E-06
421,6.79E-06,2.25E-07,1.73E-07,4.38E-06,5.75E-06
422,5.36E-06,7.06E-08,1.31E-07,2.38E-06,5.40E-06
423,3.20E-06,1.38E-07,7.18E-08,3.63E-06,3.79E-06
424,2.79E-06,8.03E-08,9.60E-08,6.39E-06,1.15E-06
425,4.67E-06,3.35E-07,9.54E-08,7.51E-06,2.12E-06
426,5.91E-06,4.62E-07,2.30E-07,7.92E-06,5.53E-06
427,6.31E-06,1.41E-06,6.82E-07,1.78E-06,8.53E-06
428,6.64E-06,3.30E-06,2.98E-06,2.44E-06,1.07E-05
429,7.23E-06,9.36E-07,3.42E-06,2.84E-06,1.17E-05
430,8.04E-06,1.21E-05,4.83E-06,2.38E-06,1.10E-05
431,1.01E-05,1.15E-05,1.64E-05,9.98E-06,1.03E-05
432,1.39E-05,2.12E-05,1.70E-05,7.00E-06,1.20E-05
433,1.94E-05,4.15E-05,1.45E-05,9.80E-06,1.28E-05
434,2.61E-05,7.06E-05,6.48E-06,1.58E-05,1.26E-05
435,3.31E-05,1.41E-04,1.98E-05,2.34E-05,1.19E-05
436,4.13E-05,2.23E-04,4.83E-06,2.81E-05,1.09E-05
437,5.32E-05,2.01E-04,5.62E-06,3.13E-05,9.77E-06
438,7.58E-05,1.47E-04,6.15E-06,1.51E-05,8.65E-06
