spec,PAN,B1,B2,B3,B4
400,5.80E-03,2.00E-04,7.00E-04,1.90E-03,1.90E-03
401,6.00E-03,3.00E-04,1.10E-03,2.00E-03,2.00E-03
402,6.20E-03,4.00E-04,1.30E-03,2.10E-03,2.10E-03
403,6.30E-03,3.00E-04,1.00E-03,2.20E-03,2.00E-03
404,6.40E-03,3.00E-04,8.00E-04,2.30E-03,1.90E-03
405,6.70E-03,3.00E-04,1.00E-03,2.40E-03,2.00E-03
406,6.90E-03,4.00E-04,1.20E-03,2.50E-03,2.10E-03
407,7.00E-03,4.00E-04,1.30E-03,2.40E-03,2.10E-03
408,7.00E-03,3.00E-04,9.00E-04,2.20E-03,2.20E-03
409,7.30E-03,2.00E-04,5.00E-04,2.30E-03,2.10E-03
410,7.50E-03,1.00E-04,3.00E-04,2.40E-03,1.90E-03
411,7.50E-03,1.00E-04,2.00E-04,2.50E-03,2.00E-03
412,7.50E-03,1.00E-04,2.00E-04,2.50E-03,2.00E-03
413,7.70E-03,1.00E-04,2.00E-04,2.60E-03,2.10E-03
414,7.90E-03,1.00E-04,2.00E-04,2.70E-03,2.10E-03
415,8.20E-03,1.00E-04,2.00E-04,2.50E-03,2.20E-03
416,8.40E-03,2.00E-04,3.00E-04,2.30E-03,2.30E-03
417,8.30E-03,2.00E-04,4.00E-04,2.30E-03,2.30E-03
418,8.20E-03,4.00E-04,6.00E-04,2.40E-03,2.40E-03
419,8.50E-03,5.00E-04,9.00E-04,2.40E-03,2.40E-03
420,8.70E-03,8.00E-04,1.30E-03,2.50E-03,2.50E-03
421,8.90E-03,1.00E-03,1.70E-03,2.60E-03,2.60E-03
422,9.10E-03,1.30E-03,2.20E-03,2.60E-03,2.60E-03
423,9.00E-03,1.60E-03,2.60E-03,2.70E-03,2.70E-03
424,8.90E-03,1.70E-03,2.90E-03,2.80E-03,2.80E-03
425,9.10E-03,1.90E-03,3.10E-03,2.50E-03,2.80E-03
426,9.30E-03,1.90E-03,3.20E-03,2.20E-03,2.90E-03
427,9.20E-03,2.00E-03,3.00E-03,2.20E-03,3.00E-03
428,9.00E-03,2.10E-03,2.70E-03,2.30E-03,3.00E-03
429,9.20E-03,2.10E-03,2.80E-03,2.30E-03,3.10E-03
430,9.40E-03,2.20E-03,2.90E-03,2.40E-03,3.10E-03
