波长/nm,前视相机PAN,B1,B2 ,B3,B4
350,0,0.008,0.009,0.008,0.005
351,0,0.008,0.008,0.007,0.006
352,0,0.008,0.008,0.007,0.007
353,0,0.008,0.007,0.006,0.008
354,0,0.007,0.007,0.006,0.009
355,0,0.007,0.007,0.005,0.01
356,0,0.008,0.006,0.005,0.009
357,0,0.008,0.006,0.005,0.008
358,0,0.008,0.006,0.005,0.007
359,0,0.009,0.006,0.005,0.007
360,0,0.009,0.006,0.005,0.006
361,0,0.008,0.005,0.005,0.006
362,0,0.007,0.005,0.004,0.006
363,0,0.006,0.005,0.004,0.007
364,0,0.005,0.005,0.004,0.007
365,0,0.004,0.005,0.004,0.007
366,0,0.005,0.005,0.004,0.007
367,0,0.005,0.004,0.004,0.007
368,0,0.006,0.004,0.004,0.007
369,0,0.006,0.004,0.004,0.007
370,0,0.007,0.003,0.004,0.006
371,0,0.007,0.003,0.005,0.006
372,0,0.007,0.003,0.005,0.006
373,0,0.008,0.003,0.006,0.006
374,0,0.008,0.003,0.007,0.006
375,0,0.008,0.003,0.008,0.006
376,0,0.009,0.003,0.008,0.006
377,0,0.009,0.003,0.008,0.006
378,0,0.01,0.002,0.008,0.005
379,0,0.01,0.002,0.007,0.005
380,0,0.011,0.002,0.007,0.005
381,0,0.01,0.002,0.007,0.005
382,0,0.01,0.002,0.007,0.005
383,0,0.01,0.002,0.006,0.005
384,0,0.009,0.002,0.006,0.005
385,0,0.009,0.002,0.006,0.005
386,0,0.009,0.002,0.006,0.005
387,0,0.009,0.002,0.006,0.005
388,0,0.009,0.002,0.006,0.006
389,0,0.009,0.002,0.006,0.006
390,0,0.01,0.002,0.006,0.006
391,0,0.009,0.002,0.006,0.006
392,0,0.009,0.002,0.006,0.006
393,0,0.009,0.002,0.006,0.007
394,0,0.009,0.002,0.006,0.007
395,0,0.009,0.002,0.006,0.007
396,0,0.009,0.002,0.006,0.009
397,0,0.009,0.003,0.006,0.012
398,0,0.008,0.003,0.006,0.014
399,0,0.008,0.003,0.006,0.016
400,0,0.008,0.004,0.006,0.019
401,0,0.008,0.004,0.006,0.019
402,0,0.009,0.004,0.006,0.018
403,0,0.009,0.004,0.006,0.018
404,0,0.009,0.005,0.006,0.017
405,0,0.009,0.005,0.006,0.017
406,0,0.009,0.005,0.006,0.017
407,0,0.009,0.005,0.006,0.016
408,0,0.009,0.005,0.006,0.016
409,0,0.009,0.006,0.006,0.016
410,0,0.009,0.006,0.006,0.015
411,0,0.009,0.006,0.006,0.016
412,0,0.009,0.005,0.006,0.016
413,0,0.009,0.005,0.006,0.017
414,0,0.009,0.005,0.006,0.017
415,0,0.009,0.005,0.006,0.018
416,0,0.009,0.005,0.006,0.018
417,0,0.009,0.005,0.006,0.017
418,0,0.009,0.005,0.006,0.017
419,0,0.009,0.005,0.006,0.017
